TL,Territory Level and Typology,REG_ID,Region,SERIES,SNA Classification,VAR,Indicator,MEAS,Measure,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
2,Large regions (TL2),ITI2,Umbria,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,83681,,
2,Large regions (TL2),ITI3,Marche,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,80922,,
2,Large regions (TL2),ITI4,Lazio,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,101183,,
2,Large regions (TL2),ITZZ,"Italy, not regionalised",SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2001,2001,,,0,Units,,,145263,,
1,Country,ITA,Italy,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2002,2002,,,0,Units,,,85389,,
2,Large regions (TL2),ITC1,Piedmont,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2002,2002,,,0,Units,,,91207,,
2,Large regions (TL2),ITC2,Aosta Valley,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2002,2002,,,0,Units,,,90472,,
2,Large regions (TL2),ITC3,Liguria,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2002,2002,,,0,Units,,,91518,,
2,Large regions (TL2),ITC4,Lombardy,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2002,2002,,,0,Units,,,96423,,
2,Large regions (TL2),ITF1,Abruzzo,SNA_2008,Last SNA classification (SNA 2008 or latest available),GVA_IND_TOTAL,"Regional Gross Value Added, total activities",PW_REAL_PPP,"USD per worker, constant prices, constant PPP, base year 2015",ALL,All regions,2002,2002,,,0,Units,,,76243,,
