TL,Territory level and Typology,REG_ID,Region,VAR,Indicator,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,NewValue,Flag Codes,Flags
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2000,2000,,,0,Units,,,122.29,132.0732,,
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2001,2001,,,0,Units,,,122.43,132.2244,,
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2002,2002,,,0,Units,,,74.1,80.028,,
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2003,2003,,,0,Units,,,75.7,81.756,,
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2004,2004,,,0,Units,,,84.48,91.2384,,
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2005,2005,,,0,Units,,,81.31,87.8148,,
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2006,2006,,,0,Units,,,114.63,123.8004,,
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2007,2007,,,0,Units,,,108.05,116.694,,
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2008,2008,,,0,Units,,,105.66,114.1128,,
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2009,2009,,,0,Units,,,98.8,106.704,,
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2010,2010,,,0,Units,,,102.22,110.3976,,
2,Large regions (TL2),ITF5,Basilicata,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2011,2011,,,0,Units,,,84.76,91.5408,,
2,Large regions (TL2),ITF6,Calabria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2000,2000,,,0,Units,,,125.87,135.9396,,
2,Large regions (TL2),ITF6,Calabria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2001,2001,,,0,Units,,,135.29,146.1132,,
2,Large regions (TL2),ITF6,Calabria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2002,2002,,,0,Units,,,180.82,195.2856,,
2,Large regions (TL2),ITF6,Calabria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2003,2003,,,0,Units,,,182.94,197.5752,,
2,Large regions (TL2),ITF6,Calabria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2004,2004,,,0,Units,,,179.72,194.0976,,
2,Large regions (TL2),ITF6,Calabria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2005,2005,,,0,Units,,,177.68,191.8944,,
2,Large regions (TL2),ITF6,Calabria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2006,2006,,,0,Units,,,205.48,221.9184,,
2,Large regions (TL2),ITF6,Calabria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2007,2007,,,0,Units,,,219.99,237.5892,,
2,Large regions (TL2),ITF6,Calabria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2008,2008,,,0,Units,,,213.99,231.1092,,
2,Large regions (TL2),ITF6,Calabria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2009,2009,,,0,Units,,,210.87,227.7396,,
2,Large regions (TL2),ITF6,Calabria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2010,2010,,,0,Units,,,208.85,225.558,,
2,Large regions (TL2),ITF6,Calabria,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2011,2011,,,0,Units,,,204.19,220.5252,,
2,Large regions (TL2),ITG1,Sicily,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2000,2000,,,0,Units,,,983.21,1061.8668,,
2,Large regions (TL2),ITG1,Sicily,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2001,2001,,,0,Units,,,1011.63,1092.5604,,
2,Large regions (TL2),ITG1,Sicily,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2002,2002,,,0,Units,,,951.47,1027.5876,,
2,Large regions (TL2),ITG1,Sicily,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2003,2003,,,0,Units,,,930.46,1004.8968,,
2,Large regions (TL2),ITG1,Sicily,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2004,2004,,,0,Units,,,1046.04,1129.7232,,
2,Large regions (TL2),ITG1,Sicily,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2005,2005,,,0,Units,,,947.12,1022.8896,,
2,Large regions (TL2),ITG1,Sicily,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2006,2006,,,0,Units,,,1068.84,1154.3472,,
2,Large regions (TL2),ITG1,Sicily,RD_EXP_TOT_PPP,"R&D Total Expenditure (millions USD, constant prices, constant PPP, base year 2010)",ALL,All regions,2007,2007,,,0,Units,,,1000.22,1080.2376,,
